"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date","ha","result"
"121","13","28","16","1","0","81.25","4","caught","3","v Sri Lanka","Mumbai","3 Dec 1997",1,4
"122","18","61","34","3","0","52.94","4","bowled","1","v New Zealand","Mohali","10 Oct 1999",1,4
"123","126*","397","248","14","0","50.80","4","not out","3","v New Zealand","Mohali","10 Oct 1999",1,4
"124","217","494","344","29","0","63.08","4","caught","1","v New Zealand","Ahmedabad","29 Oct 1999",1,4
"125","15","16","10","3","0","150.00","2","bowled","3","v New Zealand","Ahmedabad","29 Oct 1999",1,4
"126","201*","392","281","27","0","71.53","4","not out","1","v Zimbabwe","Nagpur","25 Nov 2000",1,4
"127","103","254","197","12","1","52.28","4","caught","2","v England","Ahmedabad","11 Dec 2001",1,4
"128","26","87","81","4","0","32.09","4","caught","4","v England","Ahmedabad","11 Dec 2001",1,4
"129","90","263","198","13","0","45.45","4","stumped","2","v England","Bangalore","19 Dec 2001",1,4
"130","36","85","65","7","0","55.38","4","caught","1","v West Indies","Kolkata","30 Oct 2002",1,4
"131","176","419","298","26","0","59.06","4","caught","3","v West Indies","Kolkata","30 Oct 2002",1,4
"132","8","54","38","1","0","21.05","4","caught","1","v New Zealand","Ahmedabad","8 Oct 2003",1,4
"133","7","19","15","0","0","46.66","4","caught","3","v New Zealand","Ahmedabad","8 Oct 2003",1,4
"134","55","238","175","6","0","31.42","4","caught","2","v New Zealand","Mohali","16 Oct 2003",1,4
"135","1","15","10","0","0","10.00","4","bowled","3","v New Zealand","Mohali","16 Oct 2003",1,4
"136","3","21","18","0","0","16.66","4","bowled","2","v South Africa","Kanpur","20 Nov 2004",1,4
"137","94","301","202","11","0","46.53","4","caught","2","v Pakistan","Mohali","8 Mar 2005",1,4
"138","DNB","-","-","-","-","-","-","-","4","v Pakistan","Mohali","8 Mar 2005",1,4
"139","22","157","126","2","0","17.46","4","lbw","1","v Sri Lanka","Chennai","2 Dec 2005",1,4
"140","16","84","45","2","0","35.55","4","lbw","2","v England","Nagpur","1 Mar 2006",1,4
"141","28*","38","19","5","0","147.36","6","not out","4","v England","Nagpur","1 Mar 2006",1,4
"142","82","146","109","12","0","75.22","4","bowled","1","v Pakistan","Kolkata","30 Nov 2007",1,4
"143","DNB","-","-","-","-","-","-","-","3","v Pakistan","Kolkata","30 Nov 2007",1,4
