"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date","ha","result"
"106","15.0","3","41","3","2.73","5","2","v Sri Lanka","Chennai","2 Dec 2005",1,4
"107","40.0","13","88","1","2.20","4","1","v England","Nagpur","1 Mar 2006",1,4
"108","32.0","8","101","1","3.15","3","3","v England","Nagpur","1 Mar 2006",1,4
"109","47.0","14","122","3","2.59","4","2","v Pakistan","Kolkata","30 Nov 2007",1,4
"110","25.0","4","73","2","2.92","2","4","v Pakistan","Kolkata","30 Nov 2007",1,4
"111","44.0","12","116","1","2.63","3","2","v Pakistan","Bangalore","8 Dec 2007",1,4
"112","14.0","2","60","5","4.28","3","4","v Pakistan","Bangalore","8 Dec 2007",1,4
"113","45.0","11","106","2","2.35","3","1","v South Africa","Chennai","26 Mar 2008",1,4
"114","20.0","2","57","1","2.85","5","3","v South Africa","Chennai","26 Mar 2008",1,4
"115","43.0","6","129","0","3.00","4","1","v Australia","Bangalore","9 Oct 2008",1,4
"116","8.0","0","31","0","3.87","5","3","v Australia","Bangalore","9 Oct 2008",1,4
"117","43.3","9","112","3","2.57","3","2","v Australia","Delhi","29 Oct 2008",1,4
"118","4.0","0","14","0","3.50","1","4","v Australia","Delhi","29 Oct 2008",1,4
"119","24.0","3","87","5","3.62","4","2","v Sri Lanka","Colombo (SSC)","27 Jul 1993",2,1
"120","38.1","14","85","3","2.22","5","4","v Sri Lanka","Colombo (SSC)","27 Jul 1993",2,1
"121","33.0","7","93","3","2.81","4","2","v England","Leeds","22 Aug 2002",2,1
"122","29.5","12","66","4","2.21","4","3","v England","Leeds","22 Aug 2002",2,1
"123","43.0","3","154","5","3.58","4","1","v Australia","Adelaide","12 Dec 2003",2,1
"124","17.0","2","58","1","3.41","4","3","v Australia","Adelaide","12 Dec 2003",2,1
"125","39.3","12","100","2","2.53","3","2","v Pakistan","Multan","28 Mar 2004",2,1
"126","30.0","10","72","6","2.40","3","3","v Pakistan","Multan","28 Mar 2004",2,1
"127","8.5","2","24","1","2.71","5","1","v Pakistan","Rawalpindi","13 Apr 2004",2,1
"128","8.0","2","47","4","5.87","3","3","v Pakistan","Rawalpindi","13 Apr 2004",2,1
"129","13.5","2","45","2","3.25","4","1","v Bangladesh","Dhaka","10 Dec 2004",2,1
"130","13.0","4","42","2","3.23","3","3","v Bangladesh","Dhaka","10 Dec 2004",2,1
"131","26.0","9","55","4","2.11","3","2","v Bangladesh","Chittagong","17 Dec 2004",2,1
"132","4.0","2","2","2","0.50","3","3","v Bangladesh","Chittagong","17 Dec 2004",2,1
"133","26.0","7","71","2","2.73","4","1","v Zimbabwe","Bulawayo","13 Sep 2005",2,1
"134","12.0","2","43","1","3.58","4","3","v Zimbabwe","Bulawayo","13 Sep 2005",2,1
"135","7.0","1","19","0","2.71","4","1","v Zimbabwe","Harare","20 Sep 2005",2,1
"136","11.0","3","52","1","4.72","4","3","v Zimbabwe","Harare","20 Sep 2005",2,1
"137","8.0","3","32","1","4.00","3","2","v West Indies","Kingston","30 Jun 2006",2,1
"138","22.4","3","78","6","3.44","4","4","v West Indies","Kingston","30 Jun 2006",2,1
"139","2.0","1","2","2","1.00","4","2","v South Africa","Johannesburg","15 Dec 2006",2,1
"140","20.0","4","54","3","2.70","5","4","v South Africa","Johannesburg","15 Dec 2006",2,1
"141","9.2","3","32","3","3.42","3","2","v Bangladesh","Dhaka","25 May 2007",2,1
"142","15.0","1","72","2","4.80","4","3","v Bangladesh","Dhaka","25 May 2007",2,1
"143","12.3","2","32","3","2.56","5","1","v England","Nottingham","27 Jul 2007",2,1
"144","25.0","2","104","3","4.16","4","3","v England","Nottingham","27 Jul 2007",2,1
"145","12.0","1","42","2","3.50","4","2","v Australia","Perth","16 Jan 2008",2,1
"146","24.0","2","98","2","4.08","4","4","v Australia","Perth","16 Jan 2008",2,1
"147","36.0","7","81","3","2.25","3","2","v Sri Lanka","Galle","31 Jul 2008",2,1
"148","10.3","3","41","2","3.90","3","4","v Sri Lanka","Galle","31 Jul 2008",2,1
"149","50.3","16","81","3","1.60","3","2","v South Africa","Port Elizabeth","26 Dec 1992",2,2
"150","20.0","5","65","0","3.25","3","4","v South Africa","Port Elizabeth","26 Dec 1992",2,2
"151","24.0","4","77","1","3.20","3","2","v England","Birmingham","6 Jun 1996",2,2
"152","5.0","3","9","0","1.80","3","4","v England","Birmingham","6 Jun 1996",2,2
"153","20.2","3","61","0","3.00","5","1","v South Africa","Durban","26 Dec 1996",2,2
"154","11.0","3","26","2","2.36","4","3","v South Africa","Durban","26 Dec 1996",2,2
"155","51.0","7","136","0","2.66","4","1","v South Africa","Cape Town","2 Jan 1997",2,2
"156","25.0","4","58","2","2.32","4","3","v South Africa","Cape Town","2 Jan 1997",2,2
"157","16.0","1","44","1","2.75","4","1","v West Indies","Bridgetown","27 Mar 1997",2,2
"158","DNB","-","-","-","-","-","3","v West Indies","Bridgetown","27 Mar 1997",2,2
"159","17.4","3","42","3","2.37","6","1","v Zimbabwe","Harare","7 Oct 1998",2,2
"160","36.0","4","87","4","2.41","4","3","v Zimbabwe","Harare","7 Oct 1998",2,2
"161","45.4","17","83","4","1.81","3","2","v New Zealand","Wellington","26 Dec 1998",2,2
"162","23.0","6","70","2","3.04","3","4","v New Zealand","Wellington","26 Dec 1998",2,2
"163","34.0","1","101","2","2.97","5","1","v Australia","Adelaide","10 Dec 1999",2,2
"164","32.0","9","73","1","2.28","4","3","v Australia","Adelaide","10 Dec 1999",2,2
"165","29.0","3","78","0","2.68","5","1","v Australia","Melbourne","26 Dec 1999",2,2
"166","18.0","3","72","2","4.00","4","3","v Australia","Melbourne","26 Dec 1999",2,2
"167","33.2","6","126","0","3.78","4","2","v Australia","Sydney","2 Jan 2000",2,2
"168","50.0","12","132","3","2.64","4","2","v South Africa","Bloemfontein","3 Nov 2001",2,2
"169","4.0","0","23","1","5.75","2","4","v South Africa","Bloemfontein","3 Nov 2001",2,2
"170","42.2","9","128","3","3.02","4","1","v England","Lord's","25 Jul 2002",2,2
"171","24.0","1","84","3","3.50","3","3","v England","Lord's","25 Jul 2002",2,2
"172","51.0","8","176","6","3.45","4","2","v Australia","Melbourne","26 Dec 2003",2,2
"173","6.2","0","43","0","6.78","3","4","v Australia","Melbourne","26 Dec 2003",2,2
"174","44.1","5","146","2","3.30","4","2","v Pakistan","Lahore","5 Apr 2004",2,2
"175","DNB","-","-","-","-","-","4","v Pakistan","Lahore","5 Apr 2004",2,2
"176","10.0","1","32","0","3.20","5","1","v Pakistan","Karachi","29 Jan 2006",2,2
"177","37.1","3","151","3","4.06","4","3","v Pakistan","Karachi","29 Jan 2006",2,2
"178","28.3","1","62","3","2.17","4","1","v South Africa","Durban","26 Dec 2006",2,2
"179","16.0","4","37","1","2.31","4","3","v South Africa","Durban","26 Dec 2006",2,2
"180","42.3","6","117","4","2.75","3","2","v South Africa","Cape Town","2 Jan 2007",2,2
"181","25.0","4","74","1","2.96","3","4","v South Africa","Cape Town","2 Jan 2007",2,2
"182","25.0","4","84","5","3.36","5","1","v Australia","Melbourne","26 Dec 2007",2,2
"183","25.0","2","102","2","4.08","3","3","v Australia","Melbourne","26 Dec 2007",2,2
"184","25.3","0","106","4","4.15","5","1","v Australia","Sydney","2 Jan 2008",2,2
"185","40.0","3","148","4","3.70","4","3","v Australia","Sydney","2 Jan 2008",2,2
"186","37.0","4","121","0","3.27","5","1","v Sri Lanka","Colombo (SSC)","23 Jul 2008",2,2
"187","41.2","4","123","3","2.97","4","2","v Sri Lanka","Colombo (PSS)","8 Aug 2008",2,2
"188","10.0","2","34","0","3.40","3","4","v Sri Lanka","Colombo (PSS)","8 Aug 2008",2,2
"189","43.0","7","105","3","2.44","3","1","v England","Manchester","9 Aug 1990",2,4
"190","17.0","3","65","0","3.82","3","3","v England","Manchester","9 Aug 1990",2,4
"191","35.2","11","79","3","2.23","5","1","v Zimbabwe","Harare","18 Oct 1992",2,4
"192","9.0","1","15","0","1.66","5","3","v Zimbabwe","Harare","18 Oct 1992",2,4
"193","28.0","8","51","2","1.82","4","1","v South Africa","Durban","13 Nov 1992",2,4
"194","16.0","4","36","1","2.25","4","3","v South Africa","Durban","13 Nov 1992",2,4
"195","26.0","8","60","2","2.30","4","1","v South Africa","Johannesburg","26 Nov 1992",2,4
"196","44.0","22","53","6","1.20","4","3","v South Africa","Johannesburg","26 Nov 1992",2,4
"197","47.0","13","101","3","2.14","5","1","v South Africa","Cape Town","2 Jan 1993",2,4
"198","23.0","11","20","1","0.86","4","3","v South Africa","Cape Town","2 Jan 1993",2,4
"199","DNB","-","-","-","-","-","1","v Sri Lanka","Kandy","17 Jul 1993",2,4
"200","40.0","12","95","2","2.37","5","1","v Sri Lanka","Colombo (PSS)","4 Aug 1993",2,4
"201","38.2","7","108","3","2.81","3","3","v Sri Lanka","Colombo (PSS)","4 Aug 1993",2,4
"202","23.0","8","34","1","1.47","3","1","v New Zealand","Hamilton","19 Mar 1994",2,4
"203","27.0","6","68","1","2.51","4","3","v New Zealand","Hamilton","19 Mar 1994",2,4
"204","28.0","9","60","0","2.14","4","1","v England","Lord's","20 Jun 1996",2,4
"205","51.0","14","90","3","1.76","3","3","v England","Lord's","20 Jun 1996",2,4
"206","39.0","6","98","1","2.51","3","2","v England","Nottingham","4 Jul 1996",2,4
"207","25.0","5","63","1","2.52","3","2","v South Africa","Johannesburg","16 Jan 1997",2,4
"208","23.0","7","40","3","1.73","3","4","v South Africa","Johannesburg","16 Jan 1997",2,4
"209","42.4","5","120","5","2.81","3","1","v West Indies","Kingston","6 Mar 1997",2,4
"210","23.0","6","76","3","3.30","3","3","v West Indies","Kingston","6 Mar 1997",2,4
"211","39.0","8","104","5","2.66","3","1","v West Indies","Port of Spain","14 Mar 1997",2,4
"212","40.0","9","109","2","2.72","3","3","v West Indies","Port of Spain","14 Mar 1997",2,4
"213","36.0","14","93","2","2.58","3","1","v West Indies","St John's","4 Apr 1997",2,4
"214","4.0","1","30","1","7.50","4","2","v West Indies","Georgetown","17 Apr 1997",2,4
"215","72.0","7","223","1","3.09","4","2","v Sri Lanka","Colombo (RPS)","2 Aug 1997",2,4
"216","25.0","8","51","1","2.04","4","1","v Sri Lanka","Colombo (SSC)","9 Aug 1997",2,4
"217","38.4","2","156","3","4.03","4","3","v Sri Lanka","Colombo (SSC)","9 Aug 1997",2,4
"218","27.0","7","64","1","2.37","3","1","v New Zealand","Hamilton","2 Jan 1999",2,4
"219","45.5","13","124","2","2.70","4","3","v New Zealand","Hamilton","2 Jan 1999",2,4
"220","54.1","10","134","4","2.47","3","2","v Sri Lanka","Colombo (SSC)","24 Feb 1999",2,4
"221","29.0","10","67","1","2.31","4","1","v South Africa","Port Elizabeth","16 Nov 2001",2,4
"222","9.0","0","22","0","2.44","6","3","v South Africa","Port Elizabeth","16 Nov 2001",2,4
"223","45.1","7","145","2","3.21","4","1","v West Indies","Georgetown","11 Apr 2002",2,4
"224","14.0","5","29","1","2.07","6","2","v West Indies","St John's","10 May 2002",2,4
"225","35.0","11","105","1","3.00","5","1","v England","The Oval","5 Sep 2002",2,4
"226","10.0","2","28","0","2.80","3","3","v England","The Oval","5 Sep 2002",2,4
"227","46.5","7","141","8","3.01","3","2","v Australia","Sydney","2 Jan 2004",2,4
"228","42.0","8","138","4","3.28","2","4","v Australia","Sydney","2 Jan 2004",2,4
"229","39.3","2","178","2","4.50","5","1","v Pakistan","Lahore","13 Jan 2006",2,4
"230","35.2","5","150","3","4.24","5","1","v Pakistan","Faisalabad","21 Jan 2006",2,4
